auto_code,tik_id,tik,link_orig,link_save
77,2707,ТИК района Ховрино,http://mosgorizbirkom.ru/documents/10279/132725/052_4-1_05.pdf/b2c8b54a-18c8-41e1-8a36-18cca0acedc5,
77,2708,ТИК района Хорошево-Мневники,http://mosgorizbirkom.ru/documents/10279/132725/076_4-1_08.pdf/49682fe0-dc1f-4e7a-9804-b324a8a8ec36,
77,2709,ТИК района Царицыно,http://mosgorizbirkom.ru/documents/10279/132725/128_4-1_13.pdf/aca85d39-4f7d-4a5e-b43a-704bc86e5b45,
77,2710,ТИК района Черемушки,http://mosgorizbirkom.ru/documents/10279/132725/110_4-1_04.pdf/eabf9bf5-6381-40fc-87c9-ef6ee9615b90,
77,2711,ТИК района Чертаново Северное,http://mosgorizbirkom.ru/documents/10279/132725/129_4-1_10.pdf/6193446d-57f3-45a6-8242-c09e616adc66,
77,2712,ТИК района Чертаново Центральное,http://mosgorizbirkom.ru/documents/10279/132725/130_4-1_11.pdf/73f2dbf3-e34f-4b44-8232-85e402399e00,
77,2713,ТИК района Чертаново Южное,http://mosgorizbirkom.ru/documents/10279/132725/131_4-1_05.pdf/60a028f9-db52-4eac-a0ff-20d3b9846ee6,
77,2714,ТИК района Щукино,http://mosgorizbirkom.ru/documents/10279/132725/077_4-1_09.pdf/14287d69-5b3f-409c-8389-92e13f9dc255,
77,2715,ТИК района Южное Бутово,http://mosgorizbirkom.ru/documents/10279/132725/111_4-1_12.pdf/53062eae-8227-4f46-bc1a-6fd7cf1e8315,
77,2716,ТИК района Южное Медведково,http://mosgorizbirkom.ru/documents/10279/132725/069_4-1_06.pdf/2ce1ade3-caef-4c44-bb57-93b0fc541351,
77,2717,ТИК района Южное Тушино,http://mosgorizbirkom.ru/documents/10279/132725/078_4-1_06.pdf/3d50030e-e887-46ce-b1b7-78bb69ec02f7,
77,2718,ТИК района Якиманка,http://mosgorizbirkom.ru/documents/10279/132725/088_4-1_04.pdf/5ef1226b-49a8-4c28-b2ed-cd69d3e4554e,
77,2719,ТИК района Ясенево,http://mosgorizbirkom.ru/documents/10279/132725/112_4-1_13.pdf/c1149931-4607-4bc7-8624-f050fe0bd7f1,
77,2720,ТИК Рязанского района,http://mosgorizbirkom.ru/documents/10279/132725/098_4-1_04.pdf/25257ab3-061e-4179-bfed-20fe6f36871a,
77,2721,ТИК Савеловского района,http://mosgorizbirkom.ru/documents/10279/132725/049_4-1_04.pdf/b701f43e-89a0-41cd-bcf5-eb773b154583,
77,2722,ТИК Таганского района,http://mosgorizbirkom.ru/documents/10279/132725/085_4-1_06.pdf/0084cdf2-c5a3-4a78-836f-00310270a2d0,
77,2723,ТИК Тверского района,http://mosgorizbirkom.ru/documents/10279/132725/086_4-1_07.pdf/2fee45dd-a126-4660-b7ed-b9c0ee03eb58,
77,2724,ТИК Тимирязевского района,http://mosgorizbirkom.ru/documents/10279/132725/051_4-1_04.pdf/a3b41961-c56d-4181-af19-b310cfe1679e,
77,2725,ТИК Троицкого административного округа,http://mosgorizbirkom.ru/documents/10279/132725/219-%D1%80%D0%BF.pdf/388a7190-7c31-4483-ab20-683361310d69,
77,2726,ТИК Хорошевского района,http://mosgorizbirkom.ru/documents/10279/132725/053_4-1_04.pdf/9470350d-4e47-4012-a39f-bfda854f49e2,
77,2727,ТИК Южнопортового района,http://mosgorizbirkom.ru/documents/10279/132725/100_4-1_05.pdf/88f6117f-3321-4610-a7b0-651a289cec29,
77,2728,ТИК Ярославского района,http://mosgorizbirkom.ru/documents/10279/132725/070_4-1_06.pdf/788faf84-b56e-4291-9f70-1bdfcdbe5d5f,
